"","corr_coefs","p_vals","p_vals_adjusted"
"Factor1_ITS_otu511",-0.00804164812176813,0.901782960201707,0.943477975248163
"Factor1_ITS_otu24",-0.0192164430439209,0.768052484297226,0.849894142460045
"Factor1_ITS_otu481",-0.0383038857614994,0.556513295245018,0.67909448254209
"Factor1_ITS_otu472",-0.0716039143156392,0.271223881145426,0.389741879629141
"Factor1_ITS_otu984",-0.00549203756378194,0.932832549355372,0.957667170453489
"Factor1_ITS_otu46_ITS",0.0279831135583201,0.667549400049558,0.771637769773374
"Factor1_ITS_otu139",-0.0092717555176195,0.886852788961979,0.936586567693408
"Factor1_ITS_otu551",-0.0373832696464412,0.566045418708119,0.687781382750509
"Factor1_ITS_otu529",0.00378029077356867,0.953738552334932,0.968463731884046
"Factor1_ITS_otu377",-0.017141455914042,0.792494644979109,0.869067449496115
"Factor1_ITS_otu1183",-0.0401936705596004,0.537193461119815,0.660567638233294
"Factor1_ITS_otu168",0.00389598510816649,0.952324389226215,0.96817758952249
"Factor1_ITS_otu30",0.0226895463910671,0.72766053293211,0.820417260206972
"Factor1_ITS_otu307",-0.0384471152984742,0.555037306839261,0.677615750615281
"Factor1_ITS_otu727",-0.0937687076747442,0.149258247335359,0.241544103731986
"Factor1_ITS_otu11",-0.00751679281489105,0.908164116407417,0.945006474071004
"Factor1_ITS_otu382",0.0525385736868775,0.419772639997467,0.547402632301742
"Factor1_ITS_otu5",0.0357806840575505,0.582822054788146,0.702178755533863
"Factor1_ITS_otu729",-0.0170723985819305,0.793311741756199,0.86922025527751
"Factor1_virome_VC_882_0",-0.586737037904562,5.2110087533234e-13,6.55207718248751e-12
"Factor1_virome_VC_334_2",-0.564664470875859,5.71076760038683e-12,6.59489283947262e-11
"Factor1_virome_G03J_7875_V2__664",-0.529205075496752,1.88243364905798e-10,1.90096153930462e-09
"Factor1_virome_G03J_7869_V4__357",-0.490471558411051,5.54588001229166e-09,4.82209567170444e-08
"Factor1_virome_VC_337_0",-0.550788810192745,2.35494060367217e-11,2.60363045190479e-10
"Factor1_virome_VC_334_0",-0.533685831536192,1.23746174932736e-10,1.27987475283253e-09
"Factor1_virome_VC_334_1",-0.482558364765532,1.05253402705091e-08,8.88075585324209e-08
"Factor1_virome_VC_334_3",-0.501691328947345,2.17325250562527e-09,1.96281432286226e-08
"Factor1_virome_VC_1015_0",-0.568966891064486,3.63121148229856e-12,4.23366247822536e-11
"Factor1_virome_VC_1074_0",-0.658820741775554,5.05463417803049e-17,8.47394553375699e-16
"Factor1_virome_G23J_8062V__2957",-0.522540247804565,3.4740419023536e-10,3.38818155115474e-09
"Factor1_virome_G01M_8528_V__367",-0.456039438136808,8.03517013313982e-08,6.20789499744085e-07
"Factor1_virome_G03J_7944_V3__2093",-0.592148270881478,2.81757904768407e-13,3.68729094760696e-12
"Factor1_virome_VC_1266_1",-0.632566708950883,1.93770768146068e-15,2.99410855599195e-14
"Factor1_virome_VC_432_0",-0.559446429332576,9.80433028413387e-12,1.12268335619658e-10
"Factor1_virome_G23J_7933V__2093",-0.566641519992183,4.64178841762425e-12,5.3874150638942e-11
"Factor1_virome_G03J_7879_V5__1487",-0.257286343545868,0.00363310315477258,0.0113645238926728
"Factor1_virome_AWG10_V__1917",-0.581129967726021,9.73793662509501e-13,1.17819846430984e-11
"Factor1_virome_VC_207_1",0.426938165603212,6.18445936407681e-07,4.2077289837817e-06
"Factor1_virome_BAC3_V__2033",0.506075526013388,1.49310911096167e-09,1.38260825617931e-08
"Factor1_virome_VC_85_0",0.454621787487649,8.91477399254038e-08,6.78528050174067e-07
"Factor1_virome_VC_952_0",-0.587007170922119,5.054844555524e-13,6.45058521637764e-12
"Factor1_virome_VC_785_0",-0.529098520313105,1.90116521021744e-10,1.90510341478239e-09
"Factor1_virome_BAO5_V__2849",-0.525182704916413,2.729081343991e-10,2.69234371051419e-09
"Factor1_virome_G01M_8588_V__42",-0.413788041590411,1.46369307546067e-06,9.40945548510433e-06
"Factor1_virome_G01M_8399_V__2589",0.554814086642258,1.57181562027791e-11,1.77608240793517e-10
"Factor1_virome_VC_209_0",0.529097249091479,1.90138976290172e-10,1.90510341478239e-09
"Factor1_virome_G18F_V17__62",-0.454267860395348,9.14833022239992e-08,6.90529482874019e-07
"Factor1_virome_G21F_7876_V1__81",0.522735233213974,3.41296072018913e-10,3.34131459820043e-09
"Factor1_virome_VC_71_1",-0.546511232760849,3.59764090974571e-11,3.8290244537335e-10
"Factor1_virome_VC_143_0",0.359167627353959,3.62529578025395e-05,0.0001841363104228
"Factor1_virome_VC_55_9",0.475346177824086,1.86113167263391e-08,1.52517659434696e-07
"Factor1_virome_BAW0_V__4760",0.472089135777041,2.39721780998753e-08,1.94584293753735e-07
"Factor1_virome_G01M_8337_V__6020",-0.505919783817006,1.51328980935925e-09,1.39625480611744e-08
"Factor1_virome_AZC1_V__3677",-0.47344345283431,2.15842142811702e-08,1.75757173432386e-07
"Factor1_virome_G03J_7869_V4__4566",-0.550129840149713,2.51478704539707e-11,2.74486330699722e-10
"Factor1_virome_VC_210_0",0.422397193531841,8.36170158537669e-07,5.59993852910997e-06
"Factor1_virome_VC_29_0",0.292134224014868,0.000902654227527881,0.00331706030603011
"Factor1_virome_VC_422_0",-0.420063572600248,9.74702741089934e-07,6.46023909792166e-06
"Factor1_virome_BAM2_V__428",-0.469515802080662,2.92250403059586e-08,2.34991311551046e-07
"Factor1_virome_VC_364_0",-0.34159615935244,9.05470322355789e-05,0.000425372047040769
"Factor1_virome_G01M_8340_V__2347",-0.457106525783158,7.42849711593872e-08,5.75652420011565e-07
"Factor1_virome_VC_19_0",-0.471901389565491,2.43225650815465e-08,1.96805613356993e-07
"Factor1_virome_BBD6_V__1316",-0.417858979239348,1.12541066972282e-06,7.40173940471547e-06
"Factor1_virome_G21F_7878_V2__380",0.429967644015015,5.04478030187785e-07,3.46913176255139e-06
"Factor1_virome_VC_223_0",0.327923676453789,0.000177933102507275,0.000796506820124188
"Factor1_virome_G01M_8418_V__1487",-0.178240912651539,0.0458437316662195,0.0928824421199471
"Factor1_virome_BAC3_V__5269",0.461685705681487,5.28768247762644e-08,4.16040047702817e-07
"Factor1_virome_VC_34_1",-0.526354038982751,2.45055241119229e-10,2.44578479949736e-09
"Factor1_virome_G03J_7869_V4__6476",-0.330386754216837,0.000157910523943691,0.000713099461118955
"Factor1_virome_G01M_8349_V__811",-0.480373862448508,1.25261756299697e-08,1.04656809416522e-07
"Factor1_virome_G18F_V6__4097",-0.435111505704967,3.55353282106346e-07,2.4972086811035e-06
"Factor1_virome_VC_241_4",0.385988986401938,8.05270813902471e-06,4.55964599924909e-05
"Factor1_virome_VC_779_1",-0.465467108355009,3.9784181940538e-08,3.16914368563602e-07
"Factor1_virome_BAH1_V__10073",-0.491282182416097,5.1887662728319e-09,4.52693384007273e-08
"Factor1_virome_BAH1_V__7277",-0.44580729971965,1.68297918010429e-07,1.23338331341929e-06
"Factor1_virome_VC_149_9",0.467591161731155,3.38571345837048e-08,2.71386094397509e-07
"Factor1_virome_VC_6_3",0.310659936753631,0.000399502029522414,0.00162654397734126
"Factor1_virome_VC_604_0",0.25064867821355,0.0046428952517029,0.0139777304232605
"Factor1_virome_G01M_8590_V__380",0.380840875462243,1.08610194398193e-05,6.08067305891558e-05
"Factor1_virome_BBF6_V__4414",-0.410681508036172,1.78462592788444e-06,1.13869788682179e-05
"Factor1_virome_VC_400_0",0.301320159457403,0.000606596410526154,0.00237182895274327
"Factor1_virome_G01M_8520_V__6078",-0.263333944992425,0.0028897764993809,0.00934713331766961
"Factor1_virome_BAC7_V__1487",-0.153580396601864,0.0859871568844935,0.157879067579618
"Factor1_virome_BAW1_V__3750",0.313584710463926,0.000349529013466125,0.00144437896912553
"Factor1_virome_G23J_8064V__4094",-0.446295489036117,1.62553740678299e-07,1.19470012848091e-06
"Factor1_virome_VC_224_1",0.252156495982753,0.0043937057235086,0.0133846261054627
"Factor1_virome_VC_64_1",0.361603318134477,3.17958763745948e-05,0.000163767917471558
"Factor1_virome_VC_176_0",-0.376277097612376,1.41004157471078e-05,7.63028826821339e-05
"Factor1_virome_G18F_V9__5494",-0.465196675531512,4.06065733107569e-08,3.21468705376825e-07
"Factor1_virome_VC_55_8",0.508594278205857,1.20057221727075e-09,1.12389333478083e-08
"Factor1_virome_VC_991_0",-0.221786694178954,0.0125636528785136,0.0319067026073143
"Factor1_virome_G21F_7876_V1__1487",-0.125987155516978,0.159808489238095,0.255439755513497
"Factor1_virome_VC_105_0",0.391962386996239,5.65482107881592e-06,3.31155617971754e-05
"Factor1_virome_G23J_8064V__6211",-0.418335173923726,1.09109272861308e-06,7.19448033134331e-06
"Factor1_virome_VC_55_12",0.414810774601545,1.3706160503086e-06,8.87785396222614e-06
"Factor1_virome_VC_83_0",0.338943023470482,0.000103485177059404,0.000483496319048035
"Factor1_virome_G01M_8519_V__1915",0.438407014900569,2.83031706338653e-07,1.99444045812815e-06
"Factor1_virome_VC_6_2",0.218531200803212,0.0139577418610265,0.0348943546525663
"Factor1_virome_G01M_8519_V__6078",-0.2138801769785,0.0161827208126427,0.0394194481333603
"Factor1_virome_VC_171_0",0.407486252435757,2.1837704773223e-06,1.3762582983616e-05
"Factor1_virome_G23J_7940V__695",-0.311667909992089,0.000381579504394135,0.00156350068493763
"Factor1_virome_VC_203_0",0.407510182614927,2.1804886955101e-06,1.3762582983616e-05
"Factor1_virome_AZT2_V__115",-0.440796741399372,2.39616626290865e-07,1.72161525612344e-06
"Factor1_virome_VC_231_0",0.205303888985652,0.0211002214671041,0.0490236123760163
"Factor1_virome_VC_332_4",0.422947732386962,8.06334005030936e-07,5.42846908898779e-06
"Factor1_virome_AZP2_V__5187",-0.337514408875584,0.000111146401911748,0.00051460382834591
"Factor1_virome_VC_906_0",0.384981018687578,8.54188705150126e-06,4.82597803680633e-05
"Factor1_virome_VC_64_0",0.315176235840797,0.000324827406224026,0.00135256866390362
"Factor1_virome_G23J_7943V__5311",0.38069442454652,1.0953042597335e-05,6.09426339743257e-05
"Factor1_virome_G23J_8064V__1915",0.432717418925595,4.18602768458701e-07,2.89411348004466e-06
"Factor1_virome_G03J_7869_V4__391",-0.239814104091471,0.00683733022073904,0.0194647636139796
"Factor1_virome_VC_55_0",0.444314080607734,1.87095450032772e-07,1.35564923540695e-06
"Factor1_virome_VC_173_0",-0.399762962819319,3.52684010179442e-06,2.15389163359588e-05
"Factor1_virome_VC_122_0",0.323275492601123,0.000222284331358516,0.00096637171175355
"Factor1_virome_VC_410_0",-0.146473170843919,0.10171182255865,0.179911080843293
"Factor1_virome_G23J_7936V__380",0.370063766768224,1.99919703937601e-05,0.000105781481245707
"Factor1_virome_G01M_8519_V__1487",-0.0944815662147858,0.292643856566821,0.415402043217429
"Factor1_virome_G23J_8067V__5311",0.366789982627504,2.39608983650875e-05,0.000125427967972346
"Factor1_virome_VC_183_0",0.256422281629531,0.00375228946327089,0.01169455950582
"Factor1_virome_BBD0_V__380",0.327197835815167,0.00018426872017597,0.000817732296282636
"Factor1_virome_VC_196_0",0.347214546883154,6.79689336000141e-05,0.000327092522859355
"Factor1_virome_G01M_8757_V__1132",-0.324892728109563,0.000205805173447015,0.000905472161049044
"Factor1_virome_BAH14_V__8114",0.31720163447961,0.000295725206944892,0.00124350025543221
"Factor1_virome_VC_16_0",0.378849219445166,1.21773019663584e-05,6.68838962392063e-05
"Factor1_virome_BBD0_V__1911",0.198084462106327,0.0261879818669446,0.0586656537019326
"Factor1_virome_VC_460_0",-0.181737924645386,0.0416835876829406,0.0855182374038684
"Factor1_virome_G18F_V17__5782",-0.391333939023217,5.87099671842196e-06,3.43032040609392e-05
"Factor1_virome_AZV1_V__6417",0.299014036047275,0.000671073213599654,0.00258453872805272
"Factor1_virome_VC_149_8",0.333664782378814,0.000134502211037789,0.000613875749665353
"Factor1_virome_G18F_V20__1941",0.222193514925319,0.0123983037843034,0.031549255165415
"Factor1_virome_BAM4_V__5735",-0.246617563760336,0.00537229441309428,0.0158026779467739
"Factor1_virome_BAY6_V__2583",0.285444907164606,0.00119588742445026,0.00423096723271022
"Factor1_virome_AWG2_V__544",-0.450373845899578,1.21360811470549e-07,9.07552423970726e-07
"Factor1_virome_VC_357_0",-0.29849049668802,0.000686561270679839,0.00263627194505058
"Factor1_virome_G23J_7940V__5689",-0.390766949614898,6.07271423329297e-06,3.53353846079031e-05
"Factor1_virome_G23J7927V1__1891",-0.349626702246911,5.99933218850335e-05,0.000293669600448685
"Factor1_virome_G01M_8393_V__7789",-0.225961143362855,0.0109552427099676,0.0285755709363383
"Factor1_virome_G21F_7878_V2__6959",0.259301240816938,0.00336828177525774,0.0106138117365308
