,Genus
otu4044,unclassified_Lachnospiraceae
otu4169,unclassified_Lachnospiraceae
otu3773,unclassified_Lachnospiraceae
otu3974,unclassified_Lachnospiraceae
otu3788,unclassified_Lachnospiraceae
otu3317,unclassified_Lachnospiraceae
otu3886,Alistipes
otu80,Alistipes
otu90,Alistipes
otu280,Alistipes
otu616,Alistipes
otu3783,Alistipes
otu1085,Alistipes
otu1700,Alistipes
otu856,Alistipes
otu2875,Alistipes
otu900,Alistipes
otu46,Alistipes
otu681,Alistipes
otu2268,Alistipes
otu3138,Alistipes
otu742,Alistipes
otu2481,Alistipes
otu1354,Alistipes
otu2363,Alistipes
otu474,Alistipes
otu2576,Alistipes
otu2816,Alistipes
otu2600,Alistipes
otu2169,Alistipes
otu753,Alistipes
otu872,Alistipes
otu2684,Alistipes
otu1888,Alistipes
otu58,Alistipes
otu3405,Dysgonomonas
otu767,Dysgonomonas
otu29,Dysgonomonas
otu299,Dysgonomonas
otu4112,Parabacteroides
otu3908,Parabacteroides
otu3546,unidentified
otu3752,Prevotella
otu176,Prevotella
otu2557,Prevotella
otu4103,Prevotella
otu4220,Prevotella
otu4014,Prevotella
otu193,Prevotella
otu725,Prevotella
otu2455,Prevotella
otu104,Prevotella
otu848,Prevotella
otu675,Prevotella
otu2776,Prevotella
otu1415,Prevotella
otu2318,Prevotella
otu2117,Prevotella
otu2382,Prevotella
otu1427,Prevotella
otu2164,Prevotella
otu886,Prevotella
otu186,Prevotella
otu2206,Prevotella
otu231,Prevotella
otu2308,Prevotella
otu172,Prevotella
otu2609,Prevotella
otu2415,Prevotella
otu871,Prevotella
otu330,Prevotella
otu1023,unidentified
otu1948,unidentified
otu1096,Prevotella
otu880,Prevotella
otu3134,Prevotella
otu3817,unidentified
otu2882,Prevotella
otu3641,Prevotella
otu3473,Prevotella
otu3970,Prevotella
otu3762,Prevotella
otu1013,Paraprevotella
otu83,Paraprevotella
otu2222,Paraprevotella
otu328,Paraprevotella
